Header;Source;DateTime;URL
США ввели санкции против АФК «Система», СПБ Биржи и нескольких российских банков;Forbes;2023-11-02T18:01:26+03:00;https://finance.mail.ru/2023-11-02/ssha-vveli-sankcii-protiv-afk-sistema-spb-birzhi-i-neskolkih-rossiyskih-bankov-58469219/
МО РФ сообщило о поражении живой силы и техники ВСУ у Работина;ТАСС;2023-11-02T15:14:48+03:00;https://news.mail.ru/incident/58466428/
Торги иностранными акциями на СПБ бирже приостановили;ТАСС;2023-11-02T19:02:58+03:00;https://finance.mail.ru/2023-11-02/torgi-inostrannymi-akciyami-na-spb-birzhe-priostanovili-58469855/
Минобороны обвинило Киев в «провокации» на ЗАЭС для срыва ротации МАГАТЭ;РБК;2023-11-02T16:37:09+03:00;https://news.mail.ru/incident/58468165/
Честный ГОСТ: когда ждать на полках «полный вес» социально значимых продуктов питания;Финансы Mail.ru;2023-11-02T19:29:00+03:00;https://finance.mail.ru/2023-11-02/chestnyy-gost-kogda-zhdat-na-polkah-chestnyy-ves-socialno-znachimyh-produktov-pitaniya-58470685/
Москвичам рассказали, как наблюдать метеорный поток Леониды 18 ноября;m24.ru;2023-11-02T19:15:08+03:00;https://pogoda.mail.ru/news/58470667/
Попавшая под санкции США СПБ-Биржа возобновит торги 6 ноября;Коммерсантъ;2023-11-02T20:25:27+03:00;https://finance.mail.ru/2023-11-02/popavshaya-pod-sankcii-ssha-spb-birzha-vozobnovit-torgi-6-noyabrya-58471197/
Уничтоживший дронами около 20 лодок ВСУ оператор погиб, выполняя боевую задачу;ТАСС;2023-11-02T16:48:04+03:00;https://news.mail.ru/incident/58461952/
«Желтый» уровень опасности из-за тумана объявили в Москве на утро 3 ноября;Известия;2023-11-02T19:56:21+03:00;https://pogoda.mail.ru/news/58470982/
Армия обороны Израиля заявила о начале окружения Газы;РБК;2023-11-02T18:32:23+03:00;https://news.mail.ru/incident/58470097/
ЦБ поднял планку: топ-10 самых прибыльных ставок по вкладам в российских банках;Финансы Mail.ru;2023-11-02T06:18:49+03:00;https://finance.mail.ru/2023-11-02/cb-podnyal-planku-top-10-samyh-pribylnyh-stavok-po-vkladam-v-rossiyskih-bankah-58450433/?utm_source=block_popular
Amnesty заявила о применении Израилем белого фосфора в Ливане и Газе;РБК;2023-11-02T16:28:36+03:00;https://news.mail.ru/politics/58467657/
Бахрейн отозвал посла из Израиля и прекратил экономические отношения;Коммерсантъ;2023-11-02T16:52:52+03:00;https://news.mail.ru/politics/58467601/
США ввели санкции против «Русского стандарта», СПБ-Биржи и «АФК-Система»;Коммерсантъ;2023-11-02T17:53:10+03:00;https://news.mail.ru/politics/58469017/
Германия и Дания передали Украине 25 танков Leopard 1A5;РБК;2023-11-02T19:39:23+03:00;https://news.mail.ru/politics/58470220/
МИД Украины потребовал от Турции объяснений из-за участия Ялты в форуме;РБК;2023-11-02T09:53:41+03:00;https://news.mail.ru/politics/58461004/?utm_source=block_popular
Россиян предупредили об экстремальной зиме;Lenta.Ru;2023-11-02T14:40:03+03:00;https://pogoda.mail.ru/news/58466008/
В Рязани застрелили начальника службы судебных приставов;Lenta.Ru;2023-11-02T08:32:16+03:00;https://news.mail.ru/incident/58459996/?utm_source=block_popular
Правительство побудит регионы пересмотреть систему тарифов для населения;Газета Коммерсантъ;2023-11-02T09:11:28+03:00;https://news.mail.ru/economics/58457933/?utm_source=block_popular
Россияне будут отдыхать десять дней на новогодние праздники;© РИА Новости;2023-11-02T08:26:08+03:00;https://news.mail.ru/society/58459836/?utm_source=block_popular
Схема движения на ВДНХ изменится с 3 ноября в связи с выставкой «Россия»;ТАСС;2023-11-02T18:45:29+03:00;https://news.mail.ru/society/58468474/
Сергей Собянин вручил награды города Москвы в преддверии Дня народного единства;MOS.Ru;2023-11-02T18:23:30+03:00;https://news.mail.ru/society/58469967/
Трамваи не будут ходить по улице Шаболовка с 4 по 6 ноября;АГН «Москва»;2023-11-02T20:20:14+03:00;https://news.mail.ru/society/58471213/
Собянин сообщил об открытии павильона «Атом» на ВДНХ;ТАСС;2023-11-02T18:55:50+03:00;https://news.mail.ru/society/58470371/
Армения предложила России соглашение, которое позволит обойти Римский статут;ТАСС;2023-11-02T13:59:38+03:00;https://news.mail.ru/politics/58463685/
Путин отменил информирование генсека Совета Европы о введении ЧС в России;© РИА Новости;2023-11-02T12:48:20+03:00;https://news.mail.ru/politics/58464018/
Тяжелый выбор. В Японии пришли в ужас от последствий санкций против России;© РИА Новости;2023-11-02T17:02:08+03:00;https://news.mail.ru/politics/58463590/
Россия отзывает ратификацию ДВЗЯИ. Опрос;Новости Mail.ru;2023-11-02T16:03:00+03:00;https://news.mail.ru/politics/58467693/
Офис Зеленского согласился на допконсультации по украинской «формуле мира»;Ведомости;2023-11-02T19:27:04+03:00;https://news.mail.ru/politics/58470055/
Лавров назвал возмутительными заявления МОК;Lenta.Ru;2023-11-02T20:02:45+03:00;https://news.mail.ru/politics/58470392/
Рядом с Курской АЭС нашли обломки беспилотника;Ведомости;2023-11-02T19:25:37+03:00;https://news.mail.ru/incident/58470693/
